old_slug,canonical_slug,old_countries,old_types,sample_name_en
telecommunications-engineer,telecommunication-engineer,4,ANZSCO|CNO|NCO2015,Telecommunications Engineer
telecommunications-engineering-technician,telecommunication-engineering-technician,2,CNO|NCO2015,Telecommunications Engineering Technician
telemarketers,telemarketer,1,SOC,Telemarketers
telephone-operators,telephone-operator,1,SOC,Telephone Operators
textile-fur-and-leather-products-machine-operators-not-elsewhere-classified,textile-fur-and-leather-product-machine-operator-not-elsewhere-classified,1,NCO2015,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
tobacco-preparers-and-tobacco-products-maker,tobacco-preparer-and-tobacco-product-maker,1,NCO2015,Tobacco Preparers and Tobacco Products Maker
train-and-tram-drivers,train-and-tram-driver,1,SOC,Train and tram drivers
training-and-development-managers,training-and-development-manager,1,SOC,Training and Development Managers
translators-interpreters-and-other-linguists,translator-interpreter-and-other-linguist,1,NCO2015,"Translators, Interpreters and Other Linguists"
travel-guides,travel-guide,2,NCO2015|SOC,Travel Guides
typists-and-word-processing-operators,typist-and-word-processing-operator,1,NCO2015,Typists And Word Processing Operators
university-and-higher-education-teachers,university-and-higher-education-teacher,1,CNO,University and Higher Education Teachers
upholsterers,upholsterer,3,NOC|SOC,Upholsterers
urban-and-regional-planners,urban-and-regional-planner,1,SOC,Urban and Regional Planners
valuers-and-loss-assessors,valuer-and-loss-assessor,1,NCO2015,Valuers and Loss Assessors
veterinarians,veterinarian,3,NOC|SOC,Veterinarians
veterinary-technicians-and-assistants,veterinary-technician-and-assistant,1,NCO2015,Veterinary Technicians and Assistants
visual-artists,visual-artist,1,CNO,Visual Artists
waiters,waiter,1,CNO,Waiters
weaving-and-knitting-machine-operators,weaving-and-knitting-machine-operator,1,KECO,Weaving and Knitting Machine Operators
web-designers,web-designer,1,NOC,Web Designers
web-developers,web-developer,1,SOC,Web Developers
web-technicians,web-technician,1,CNO,Web Technicians
wind-turbine-technicians,wind-turbine-technician,1,NOC,Wind turbine technicians
window-cleaners,window-cleaner,2,CNO|SOC,Window Cleaners
wine-makers,wine-maker,1,CNO,Wine Makers
