old_slug,canonical_slug,old_countries,old_types,sample_name_en
contract-administrators,contract-administrator,1,NOC,Contract administrators
cooks,cook,2,NOC|SOC,Cooks
counsellors,counsellor,2,NOC|SOC,Counsellors
craft-and-related-workers-not-elsewhere-classified,craft-and-related-worker-not-elsewhere-classified,1,NCO2015,Craft And Related Workers Not Elsewhere Classified
craft-artists,craft-artist,1,SOC,Craft Artists
crane-operators,crane-operator,1,NOC,Crane operators
creative-and-performing-artists-not-elsewhere-classified,creative-and-performing-artist-not-elsewhere-classified,1,CNO,Creative and Performing Artists Not Elsewhere Classified
credit-analysts,credit-analyst,1,SOC,Credit Analysts
credit-and-loans-officer,credit-and-loan-officer,3,ANZSCO|NCO2015,Credit and Loans Officer
credit-and-loans-officers,credit-and-loan-officer,1,NOC,Credit and Loans Officers
curators,curator,1,SOC,Curators
customer-service-representatives,customer-service-representative,1,SOC,Customer Service Representatives
customs-and-border-inspector,custom-and-border-inspector,1,NCO2015,Customs and Border Inspector
dairy-products-maker,dairy-product-maker,4,ANZSCO|KldB|NCO2015,Dairy Products Maker
dancers,dancer,1,SOC,Dancers
dancers-and-choreographers,dancer-and-choreographer,1,SOC,Dancers and choreographers
data-analysts,data-analyst,1,SOC,Data analysts
data-entry-clerks,data-entry-clerk,1,NOC,Data entry clerks
data-entry-operators,data-entry-operator,1,CNO,Data Entry Operators
data-scientists,data-scientist,1,SOC,Data Scientists
database-administrators,database-administrator,1,SOC,Database Administrators
database-and-network-professionals-not-elsewhere-classified,database-and-network-professional-not-elsewhere-classified,1,NCO2015,Database and Network Professionals Not Elsewhere Classified
database-designers-and-administrators,database-designer-and-administrator,2,CNO|NCO2015,Database Designers and Administrators
debt-collectors-and-related-workers,debt-collector-and-related-worker,1,NCO2015,Debt Collectors and Related Workers
dental-assistants,dental-assistant,2,NOC|SOC,Dental assistants
dental-assistants-and-therapists,dental-assistant-and-therapist,1,NCO2015,Dental Assistants and Therapists
dental-hygienists,dental-hygienist,1,SOC,Dental Hygienists
dentists,dentist,2,NCO2015|NOC,Dentists
dermatologists,dermatologist,1,SOC,Dermatologists
dieticians-and-nutritionists,dietician-and-nutritionist,1,NCO2015,Dieticians and Nutritionists
dishwashers,dishwasher,1,SOC,Dishwashers
dispensing-opticians,dispensing-optician,1,SOC,Dispensing opticians
domestic-cleaners-and-helpers,domestic-cleaner-and-helper,1,NCO2015,Domestic Cleaners and Helpers
drillers,driller,1,NOC,Drillers
driving-instructors,driving-instructor,1,SOC,Driving instructors
earth-science-technicians,earth-science-technician,1,NOC,Earth Science Technicians
earthmoving-and-related-plant-operators,earthmoving-and-related-plant-operator,1,NCO2015,Earthmoving And Related Plant Operators
economists,economist,1,SOC,Economists
education-managers,education-manager,2,NCO2015|SOC,Education Managers
education-methods-specialist,education-method-specialist,1,NCO2015,Education Methods Specialist
electrical-and-electronic-equipment-assemblers,electrical-and-electronic-equipment-assembler,1,SOC,Electrical and Electronic Equipment Assemblers
electrical-engineering-technicians,electrical-engineering-technician,1,CNO,Electrical Engineering Technicians
electrical-engineers,electrical-engineer,2,SOC,Electrical engineers
electrical-line-installers-and-repairers,electrical-line-installer-and-repairer,1,CNO,Electrical Line Installers and Repairers
electrical-mechanics-and-fitters,electrical-mechanic-and-fitter,1,NCO2015,Electrical Mechanics and Fitters
electricians,electrician,1,SOC,Electricians
electronics-engineers,electronics-engineer,1,NCO2015,Electronics Engineers
electronics-mechanics-and-servicers,electronics-mechanic-and-servicer,1,NCO2015,Electronics Mechanics and Servicers
emergency-medical-technicians,emergency-medical-technician,1,SOC,Emergency Medical Technicians
engineering-managers,engineering-manager,1,NOC,Engineering Managers
engineering-professionals-not-elsewhere-classified,engineering-professional-not-elsewhere-classified,1,NCO2015,Engineering Professionals Not Elsewhere Classified
environmental-engineers,environmental-engineer,1,SOC,Environmental Engineers
environmental-protection-professionals,environmental-protection-professional,1,CNO,Environmental Protection Professionals
executive-assistants,executive-assistant,1,NOC,Executive assistants
facilities-manager,facility-manager,2,ANZSCO,Facilities Manager
facilities-managers,facility-manager,1,SOC,Facilities Managers
family-medicine-physicians,family-medicine-physician,1,SOC,Family Medicine Physicians
farming-forestry-and-fisheries-adviser,farming-forestry-and-fishery-adviser,1,NCO2015,"Farming, Forestry and Fisheries Adviser"
fashion-designers,fashion-designer,1,SOC,Fashion Designers
fencers,fencer,1,NOC,Fencers
field-crop-and-vegetable-growers,field-crop-and-vegetable-grower,1,NCO2015,Field Crop and Vegetable Growers
financial-and-insurance-services-branch-managers,financial-and-insurance-service-branch-manager,1,NCO2015,Financial And Insurance Services Branch Managers
financial-managers,financial-manager,2,NOC|SOC,Financial managers
firefighters,firefighter,2,NOC|SOC,Firefighters
fish-processing-workers,fish-processing-worker,1,CNO,Fish Processing Workers
flight-attendants,flight-attendant,2,NOC|SOC,Flight Attendants
